Target,Content,Well,Sample,Sex,Life_Status,Life_Stage_Code,Life_Stage,Cq,Cq.Mean,Delta.Cq,Cq.Std..Dev,SQ,Log.Starting.Quantity,SQ.Mean,SQ.Std.Dev,Copy_Number,CN.norm
EEF2,Unkn-20,D10,Adult L1,M,Animal,8,Adult,26.87425473,26.74564894,0.12860579,0.112380202,6437.674237,3.808728996,7114.948538,592.6393227,214589.1412,
IGF1,Unkn-20,D10,Adult L1,M,Animal,8,Adult,27.37921071,27.26786026,0.11135045,0.1008332,2398.680111,3.379972334,2603.038476,186.0169606,79956.0037,-134633.1375
IGF2,Unkn-20,D10,Adult L1,M,Animal,8,Adult,25.89077899,25.76813153,0.12264746,0.118650608,9027.221802,3.955554113,9905.640669,860.7232434,300907.3934,86318.2522
EEF2,Unkn-20,D11,Adult L1,M,Animal,8,Adult,26.66635531,26.74564894,0.07929363,0.112380202,7538.414973,3.877280041,7114.948538,592.6393227,251280.4991,
IGF1,Unkn-20,D11,Adult L1,M,Animal,8,Adult,27.1827208,27.26786026,0.08513946,0.1008332,2762.493775,3.441301308,2603.038476,186.0169606,92083.12583,-159197.3733
IGF2,Unkn-20,D11,Adult L1,M,Animal,8,Adult,25.653929,25.76813153,0.11420253,0.118650608,10747.50345,4.031307593,9905.640669,860.7232434,358250.115,106969.6159
EEF2,Unkn-20,D12,Adult L1,M,Animal,8,Adult,26.69633677,26.74564894,0.04931217,0.112380202,7368.756404,3.8673942,7114.948538,592.6393227,245625.2135,
IGF1,Unkn-20,D12,Adult L1,M,Animal,8,Adult,27.24164926,27.26786026,0.026211,0.1008332,2647.941542,3.422908393,2603.038476,186.0169606,88264.71807,-157360.4954
IGF2,Unkn-20,D12,Adult L1,M,Animal,8,Adult,25.75968662,25.76813153,0.00844491,0.118650608,9942.19675,3.997482353,9905.640669,860.7232434,331406.5583,85781.3448
EEF2,Unkn-14,F7,Adult L2,M,Animal,8,Adult,25.36575184,25.39895581,0.03320397,0.028893754,19783.90669,4.296312055,19294.42777,425.864012,659463.5563,
IGF1,Unkn-14,F7,Adult L2,M,Animal,8,Adult,28.61751037,28.64126785,0.02375748,0.067981723,1059.24247,3.024995385,1042.250202,49.97030319,35308.08233,-624155.474
IGF2,Unkn-14,F7,Adult L2,M,Animal,8,Adult,25.49827789,25.50526332,0.00698543,0.01693479,12164.8827,4.085107926,12103.09269,150.4473227,405496.09,-253967.4663
EEF2,Unkn-14,F8,Adult L2,M,Animal,8,Adult,25.41838111,25.39895581,0.0194253,0.028893754,19008.8478,4.278955793,19294.42777,425.864012,633628.26,
IGF1,Unkn-14,F8,Adult L2,M,Animal,8,Adult,28.71794012,28.64126785,0.07667227,0.067981723,985.9997136,2.993876789,1042.250202,49.97030319,32866.65712,-600761.6029
IGF2,Unkn-14,F8,Adult L2,M,Animal,8,Adult,25.52457343,25.50526332,0.01931011,0.01693479,11931.58868,4.076698273,12103.09269,150.4473227,397719.6227,-235908.6373
EEF2,Unkn-14,F9,Adult L2,M,Animal,8,Adult,25.41273448,25.39895581,0.01377867,0.028893754,19090.52882,4.280817959,19294.42777,425.864012,636350.9607,
IGF1,Unkn-14,F9,Adult L2,M,Animal,8,Adult,28.58835306,28.64126785,0.05291479,0.067981723,1081.508421,3.034029905,1042.250202,49.97030319,36050.2807,-600300.68
IGF2,Unkn-14,F9,Adult L2,M,Animal,8,Adult,25.49293865,25.50526332,0.01232467,0.01693479,12212.80669,4.086815483,12103.09269,150.4473227,407093.5563,-229257.4044
EEF2,Unkn-18,B10,Adult L3,F,Animal,8,Adult,26.34296194,26.34936551,0.00640357,0.015195287,9419.858626,3.974044385,9374.580192,107.8429007,313995.2875,
IGF1,Unkn-18,B10,Adult L3,F,Animal,8,Adult,31.1167241,31.28076816,0.16404406,0.146227718,178.07505,2.250603075,158.9905591,16.93509546,5935.835,-308059.4525
IGF2,Unkn-18,B10,Adult L3,F,Animal,8,Adult,28.05646921,28.10128924,0.04482003,0.038866129,1849.121927,3.266965549,1789.578492,51.63040715,61637.39757,-252357.8899
EEF2,Unkn-18,B11,Adult L3,F,Animal,8,Adult,26.36671447,26.34936551,0.01734896,0.015195287,9251.479595,3.966211195,9374.580192,107.8429007,308382.6532,
IGF1,Unkn-18,B11,Adult L3,F,Animal,8,Adult,31.3281534,31.28076816,0.04738524,0.146227718,153.1407539,2.185090781,158.9905591,16.93509546,5104.691797,-303277.9614
IGF2,Unkn-18,B11,Adult L3,F,Animal,8,Adult,28.12568669,28.10128924,0.02439745,0.038866129,1757.231226,3.244828912,1789.578492,51.63040715,58574.3742,-249808.279
EEF2,Unkn-18,B12,Adult L3,F,Animal,8,Adult,26.33842013,26.34936551,0.01094538,0.015195287,9452.402354,3.9755422,9374.580192,107.8429007,315080.0785,
IGF1,Unkn-18,B12,Adult L3,F,Animal,8,Adult,31.39742697,31.28076816,0.11665881,0.146227718,145.7558735,2.163626064,158.9905591,16.93509546,4858.529117,-310221.5494
IGF2,Unkn-18,B12,Adult L3,F,Animal,8,Adult,28.12171181,28.10128924,0.02042257,0.038866129,1762.382324,3.246100128,1789.578492,51.63040715,58746.07747,-256334.001
EEF2,Unkn-05,E4,Adult L4,F,Animal,8,Adult,24.52864141,24.55988513,0.03124372,0.094343168,37357.44579,4.572377175,36543.34814,2574.572759,1245248.193,
IGF1,Unkn-05,E4,Adult L4,F,Animal,8,Adult,28.284056,28.27868099,0.00537501,0.077685406,1343.747541,3.128317682,1350.294838,75.02620183,44791.5847,-1200456.608
IGF2,Unkn-05,E4,Adult L4,F,Animal,8,Adult,26.37942035,26.42473006,0.04530971,0.070621414,6357.80597,3.80330727,6154.662471,315.2251569,211926.8657,-1033321.327
